Day#23,Date2023,maxF23,minF23,maxC23,minC23,Day#24,Date2024,maxF24,minF24,maxC24,minC24
1,1-Jan,75.8,49.3,24.33,9.61,1,1-Jan,67,35.9,19.44,2.17
2,2-Jan,80.2,48.7,26.78,9.28,2,2-Jan,56.7,30.2,13.72,-1.00
3,3-Jan,79.1,59.1,26.17,15.06,3,3-Jan,53.3,27.7,11.83,-2.39
4,4-Jan,75,64.3,23.89,17.94,4,4-Jan,59.1,35,15.06,1.67
5,5-Jan,72.2,41.5,22.33,5.28,5,5-Jan,64.1,33.3,17.83,0.72
6,6-Jan,62.8,36.4,17.11,2.44,6,6-Jan,72.3,52.3,22.39,11.28
7,7-Jan,69.3,32.9,20.72,0.50,7,7-Jan,56.5,39.2,13.61,4.00
8,8-Jan,68.6,35.9,20.33,2.17,8,8-Jan,55.4,35.4,13.00,1.89
9,9-Jan,63.4,38.8,17.44,3.78,9,9-Jan,69.2,49.5,20.67,9.72
10,10-Jan,65.2,35.9,18.44,2.17,10,10-Jan,54.2,38.2,12.33,3.44
11,11-Jan,74.8,35.2,23.78,1.78,11,11-Jan,58.2,40.5,14.56,4.72
12,12-Jan,77.1,57.2,25.06,14.00,12,12-Jan,71,41.2,21.67,5.11
13,13-Jan,57.5,38.8,14.17,3.78,13,13-Jan,64.4,37.6,18.00,3.11
14,14-Jan,48.1,33,8.94,0.56,14,14-Jan,63.5,35.3,17.50,1.83
15,15-Jan,55.7,24.9,13.17,-3.94,15,15-Jan,69.9,32.8,21.06,0.44
16,16-Jan,65.3,27.2,18.50,-2.67,16,16-Jan,54.8,30,12.67,-1.11
17,17-Jan,73.2,37.3,22.89,2.94,17,17-Jan,46.3,22.2,7.94,-5.44
18,18-Jan,72.2,59.4,22.33,15.22,18,18-Jan,57,23.6,13.89,-4.67
19,19-Jan,75.5,54,24.17,12.22,19,19-Jan,63.7,39.3,17.61,4.06
20,20-Jan,65.5,40.1,18.61,4.50,20,20-Jan,42.5,28.5,5.83,-1.94
21,21-Jan,61.7,39.1,16.50,3.94,21,21-Jan,43.6,22.6,6.44,-5.22
22,22-Jan,66.6,49.9,19.22,9.94,22,22-Jan,62.9,28.5,17.17,-1.94
23,23-Jan,57.8,36.6,14.33,2.56,23,23-Jan,63.2,51.8,17.33,11.00
24,24-Jan,61.9,29.2,16.61,-1.56,24,24-Jan,77.5,60.2,25.28,15.67
25,25-Jan,68.5,51.2,20.28,10.67,25,25-Jan,78.7,65,25.94,18.33
26,26-Jan,55.9,36.2,13.28,2.33,26,26-Jan,78.4,60.4,25.78,15.78
27,27-Jan,54.1,32.5,12.28,0.28,27,27-Jan,79.4,62.9,26.33,17.17
28,28-Jan,60.4,28.8,15.78,-1.78,28,28-Jan,64.5,49.2,18.06,9.56
29,29-Jan,59.9,37.5,15.50,3.06,29,29-Jan,60.1,39.1,15.61,3.94
30,30-Jan,78.5,56.8,25.83,13.78,30,30-Jan,61.5,31.7,16.39,-0.17
31,31-Jan,74.7,62.1,23.72,16.72,31,31-Jan,61,37.7,16.11,3.17
32,1-Feb,78.3,58.8,25.72,14.89,32,1-Feb,64.1,31.1,17.83,-0.50
33,2-Feb,78.9,54.5,26.06,12.50,33,2-Feb,68.8,39.5,20.44,4.17
34,3-Feb,59,43.4,15.00,6.33,34,3-Feb,70.4,36.8,21.33,2.67
35,4-Feb,60.5,36.8,15.83,2.67,35,4-Feb,56.8,48.5,13.78,9.17
36,5-Feb,68.6,44.1,20.33,6.72,36,5-Feb,50,43.5,10.00,6.39
37,6-Feb,69.1,40.5,20.61,4.72,37,6-Feb,61.7,38.1,16.50,3.39
38,7-Feb,75.3,37.3,24.06,2.94,38,7-Feb,61.7,33.6,16.50,0.89
39,8-Feb,78.7,46.5,25.94,8.06,39,8-Feb,69.2,34.2,20.67,1.22
40,9-Feb,77.8,50,25.44,10.00,40,9-Feb,72.6,46,22.56,7.78
41,10-Feb,67.6,52.6,19.78,11.44,41,10-Feb,73.2,50.3,22.89,10.17
42,11-Feb,61.2,50.4,16.22,10.22,42,11-Feb,70.8,56.3,21.56,13.50
43,12-Feb,54,44,12.22,6.67,43,12-Feb,66.7,58.7,19.28,14.83
44,13-Feb,67.7,37,19.83,2.78,44,13-Feb,61,41.5,16.11,5.28
