Date,maxf,minf,avgf,maxc,minc,avgc,,,
1/1/2014,53,47,50,11.67,8.33,10.00,,,
1/2/2014,59,42,50.5,15.00,5.56,10.28,,,
1/3/2014,43,27,35,6.11,-2.78,1.67,,,
1/4/2014,55,29,42,12.78,-1.67,5.56,,,
1/5/2014,57,44,50.5,13.89,6.67,10.28,,,
1/6/2014,64,26,45,17.78,-3.33,7.22,,,
1/7/2014,31,18,24.5,-0.56,-7.78,-4.17,,,
1/8/2014,49,21,35,9.44,-6.11,1.67,,,
1/9/2014,63,43,53,17.22,6.11,11.67,,,
1/10/2014,71,56,63.5,21.67,13.33,17.50,,,
1/11/2014,75,57,66,23.89,13.89,18.89,,,
1/12/2014,64,37,50.5,17.78,2.78,10.28,,,
1/13/2014,68,36,52,20.00,2.22,11.11,,,
1/14/2014,67,41,54,19.44,5.00,12.22,,,
1/15/2014,64,35,49.5,17.78,1.67,9.72,,,
1/16/2014,49,30,39.5,9.44,-1.11,4.17,,,
1/17/2014,65,29,47,18.33,-1.67,8.33,,,
1/18/2014,50,31,40.5,10.00,-0.56,4.72,,,
1/19/2014,62,34,48,16.67,1.11,8.89,,,
1/20/2014,67,30,48.5,19.44,-1.11,9.17,,,
1/21/2014,64,37,50.5,17.78,2.78,10.28,,,
1/22/2014,45,26,35.5,7.22,-3.33,1.94,,,
1/23/2014,47,25,36,8.33,-3.89,2.22,,,
1/24/2014,41,28,34.5,5.00,-2.22,1.39,,,
1/25/2014,56,26,41,13.33,-3.33,5.00,,,
1/26/2014,59,34,46.5,15.00,1.11,8.06,,,
1/27/2014,71,44,57.5,21.67,6.67,14.17,,,
1/28/2014,56,33,44.5,13.33,0.56,6.94,,,
1/29/2014,34,30,32,1.11,-1.11,0.00,,,
1/30/2014,41,28,34.5,5.00,-2.22,1.39,,,
1/31/2014,59,35,47,15.00,1.67,8.33,,,
2/1/2014,56,49,52.5,13.33,9.44,11.39,,,
2/2/2014,76,50,63,24.44,10.00,17.22,,,
2/3/2014,79,62,70.5,26.11,16.67,21.39,,,
2/4/2014,67,55,61,19.44,12.78,16.11,,,
2/5/2014,77,46,61.5,25.00,7.78,16.39,,,
2/6/2014,54,35,44.5,12.22,1.67,6.94,,,
2/7/2014,60,37,48.5,15.56,2.78,9.17,,,
2/8/2014,61,41,51,16.11,5.00,10.56,,,
2/9/2014,67,36,51.5,19.44,2.22,10.83,,,
2/10/2014,72,41,56.5,22.22,5.00,13.61,,,
2/11/2014,58,39,48.5,14.44,3.89,9.17,,,
2/12/2014,40,33,36.5,4.44,0.56,2.50,,,
2/13/2014,51,34,42.5,10.56,1.11,5.83,,,
2/14/2014,64,30,47,17.78,-1.11,8.33,,,
2/15/2014,59,36,47.5,15.00,2.22,8.61,,,
2/16/2014,65,30,47.5,18.33,-1.11,8.61,,,
2/17/2014,74,35,54.5,23.33,1.67,12.50,,,
2/18/2014,71,47,59,21.67,8.33,15.00,,,
2/19/2014,80,46,63,26.67,7.78,17.22,,,
2/20/2014,83,49,66,28.33,9.44,18.89,,,
2/21/2014,69,57,63,20.56,13.89,17.22,,,
2/22/2014,71,47,59,21.67,8.33,15.00,,,
2/23/2014,63,43,53,17.22,6.11,11.67,,,
2/24/2014,75,54,64.5,23.89,12.22,18.06,,,
2/25/2014,77,51,64,25.00,10.56,17.78,,,
2/26/2014,55,45,50,12.78,7.22,10.00,,,
2/27/2014,57,33,45,13.89,0.56,7.22,,,
2/28/2014,64,27,45.5,17.78,-2.78,7.50,,,
3/1/2014,68,40,54,20.00,4.44,12.22,,,
3/2/2014,74,40,57,23.33,4.44,13.89,,,
3/3/2014,77,49,63,25.00,9.44,17.22,,,
3/4/2014,51,40,45.5,10.56,4.44,7.50,,,
3/5/2014,45,37,41,7.22,2.78,5.00,,,
3/6/2014,45,38,41.5,7.22,3.33,5.28,,,
3/7/2014,52,38,45,11.11,3.33,7.22,,,
3/8/2014,69,34,51.5,20.56,1.11,10.83,,,
3/9/2014,76,42,59,24.44,5.56,15.00,,,
3/10/2014,78,46,62,25.56,7.78,16.67,,,
3/11/2014,81,47,64,27.22,8.33,17.78,,,
3/12/2014,75,49,62,23.89,9.44,16.67,,,
3/13/2014,60,36,48,15.56,2.22,8.89,,,
3/14/2014,69,30,49.5,20.56,-1.11,9.72,,,
3/15/2014,76,41,58.5,24.44,5.00,14.72,,,
3/16/2014,75,51,63,23.89,10.56,17.22,,,
3/17/2014,63,51,57,17.22,10.56,13.89,,,
3/18/2014,57,42,49.5,13.89,5.56,9.72,,,
3/19/2014,66,47,56.5,18.89,8.33,13.61,,,
3/20/2014,76,45,60.5,24.44,7.22,15.83,,,
3/21/2014,76,42,59,24.44,5.56,15.00,,,
3/22/2014,79,52,65.5,26.11,11.11,18.61,,,
3/23/2014,76,50,63,24.44,10.00,17.22,,,
3/24/2014,65,51,58,18.33,10.56,14.44,,,
3/25/2014,68,43,55.5,20.00,6.11,13.06,,,
3/26/2014,59,31,45,15.00,-0.56,7.22,,,
3/27/2014,71,34,52.5,21.67,1.11,11.39,,,
3/28/2014,73,52,62.5,22.78,11.11,16.94,,,
3/29/2014,79,57,68,26.11,13.89,20.00,,,
3/30/2014,70,47,58.5,21.11,8.33,14.72,,,
3/31/2014,79,37,58,26.11,2.78,14.44,,,
4/1/2014,84,42,63,28.89,5.56,17.22,,,
4/2/2014,84,46,65,28.89,7.78,18.33,,,
4/3/2014,88,50,69,31.11,10.00,20.56,,,
4/4/2014,82,56,69,27.78,13.33,20.56,,,
4/5/2014,82,61,71.5,27.78,16.11,21.94,,,
4/6/2014,69,59,64,20.56,15.00,17.78,,,
4/7/2014,76,61,68.5,24.44,16.11,20.28,,,
4/8/2014,71,56,63.5,21.67,13.33,17.50,,,
4/9/2014,74,49,61.5,23.33,9.44,16.39,,,
4/10/2014,77,44,60.5,25.00,6.67,15.83,,,
4/11/2014,80,50,65,26.67,10.00,18.33,,,
4/12/2014,83,52,67.5,28.33,11.11,19.72,,,
4/13/2014,83,52,67.5,28.33,11.11,19.72,,,
4/14/2014,86,60,73,30.00,15.56,22.78,,,
4/15/2014,72,46,59,22.22,7.78,15.00,,,
4/16/2014,63,40,51.5,17.22,4.44,10.83,,,
4/17/2014,68,47,57.5,20.00,8.33,14.17,,,
4/18/2014,59,54,56.5,15.00,12.22,13.61,,,
4/19/2014,61,55,58,16.11,12.78,14.44,,,
4/20/2014,67,52,59.5,19.44,11.11,15.28,,,
4/21/2014,78,50,64,25.56,10.00,17.78,,,
4/22/2014,83,51,67,28.33,10.56,19.44,,,
4/23/2014,83,58,70.5,28.33,14.44,21.39,,,
4/24/2014,85,55,70,29.44,12.78,21.11,,,
4/25/2014,82,60,71,27.78,15.56,21.67,,,
4/26/2014,85,53,69,29.44,11.67,20.56,,,
4/27/2014,88,57,72.5,31.11,13.89,22.50,,,
4/28/2014,88,63,75.5,31.11,17.22,24.17,,,
4/29/2014,79,67,73,26.11,19.44,22.78,,,
4/30/2014,79,64,71.5,26.11,17.78,21.94,,,
5/1/2014,70,61,65.5,21.11,16.11,18.61,,,
5/2/2014,68,60,64,20.00,15.56,17.78,,,
5/3/2014,77,53,65,25.00,11.67,18.33,,,
5/4/2014,86,50,68,30.00,10.00,20.00,,,
5/5/2014,91,56,73.5,32.78,13.33,23.06,,,
5/6/2014,89,58,73.5,31.67,14.44,23.06,,,
5/7/2014,91,55,73,32.78,12.78,22.78,,,
5/8/2014,91,60,75.5,32.78,15.56,24.17,,,
5/9/2014,92,69,80.5,33.33,20.56,26.94,,,
5/10/2014,87,69,78,30.56,20.56,25.56,,,
5/11/2014,91,65,78,32.78,18.33,25.56,,,
5/12/2014,90,61,75.5,32.22,16.11,24.17,,,
5/13/2014,89,63,76,31.67,17.22,24.44,,,
5/14/2014,89,64,76.5,31.67,17.78,24.72,,,
5/15/2014,79,59,69,26.11,15.00,20.56,,,
5/16/2014,76,53,64.5,24.44,11.67,18.06,,,
5/17/2014,80,46,63,26.67,7.78,17.22,,,
5/18/2014,85,54,69.5,29.44,12.22,20.83,,,
5/19/2014,82,60,71,27.78,15.56,21.67,,,
5/20/2014,84,56,70,28.89,13.33,21.11,,,
5/21/2014,89,58,73.5,31.67,14.44,23.06,,,
5/22/2014,91,67,79,32.78,19.44,26.11,,,
5/23/2014,94,68,81,34.44,20.00,27.22,,,
5/24/2014,91,67,79,32.78,19.44,26.11,,,
5/25/2014,92,66,79,33.33,18.89,26.11,,,
5/26/2014,89,66,77.5,31.67,18.89,25.28,,,
