Date,_FREQ_,avg,error,lower,upper
3/11/2015,9,11.77777778,5.043636744,6.734141034,16.82141452
3/17/2015,18,7.777777778,2.76115944,5.016618338,10.53893722
3/24/2015,18,7.388888889,1.836697251,5.552191638,9.225586139
3/25/2015,12,5.760416667,1.771276126,3.989140541,7.531692792
3/26/2015,6,4.666666667,1.744833644,2.921833023,6.41150031
3/31/2015,30,6.5,1.75496013,4.74503987,8.25496013
4/1/2015,12,4.333333333,1.568309905,2.765023428,5.901643239
4/2/2015,15,12.2,4.551242635,7.648757365,16.75124264
4/7/2015,27,5.814814815,0.918373759,4.896441055,6.733188574
4/8/2015,6,3.666666667,1.87379591,1.792870757,5.540462576
4/9/2015,15,15.26666667,5.821525464,9.445141202,21.08819213
4/14/2015,36,3.388888889,0.73493092,2.653957969,4.123819809
4/15/2015,12,7.583333333,1.504832284,6.07850105,9.088165617
4/16/2015,18,8.833333333,2.860881075,5.972452259,11.69421441
4/20/2015,6,1.484848485,0.536628936,0.948219549,2.021477421
4/21/2015,36,1.694444444,0.407897132,1.286547312,2.102341577
4/22/2015,12,5.916666667,1.083333333,4.833333333,7
4/23/2015,23,5.028985507,0.907179446,4.121806061,5.936164953
4/28/2015,36,2.388888889,0.507527117,1.881361772,2.896416006
4/29/2015,12,0.583333333,0.2599048,0.323428533,0.843238133
4/30/2015,24,7,1.037346112,5.962653888,8.037346112
5/5/2015,6,2,0.730296743,1.269703257,2.730296743
5/6/2015,51,3.31372549,0.655953912,2.657771578,3.969679402
5/7/2015,15,3.733333333,1.15249901,2.580834323,4.885832343
5/12/2015,36,4.185185185,1.092558963,3.092626222,5.277744148
5/13/2015,12,1.333333333,0.376050717,0.957282617,1.70938405
5/14/2015,22,4.517045455,0.585337589,3.931707866,5.102383043
5/19/2015,36,3.5,0.888640838,2.611359162,4.388640838
5/20/2015,12,0.583333333,0.148647098,0.434686236,0.731980431
5/21/2015,17,4.311764706,0.680715581,3.631049125,4.992480287
5/26/2015,44,1.120454545,0.360999864,0.759454681,1.48145441
5/28/2015,9,6.913580247,1.54169061,5.371889637,8.455270857
5/29/2015,17,1.441176471,0.442101427,0.999075044,1.883277897
6/2/2015,34,0.598684211,0.197968137,0.400716074,0.796652347
6/4/2015,26,0.867521368,0.270557037,0.59696433,1.138078405
6/9/2015,40,2.799469697,0.584801756,2.214667941,3.384271453
6/11/2015,27,5.12345679,2.629839172,2.493617618,7.753295962
6/16/2015,43,2.418604651,0.388415525,2.030189126,2.807020176
6/18/2015,26,12.03846154,3.365197797,8.673263741,15.40365934
6/23/2015,44,6.022727273,1.024792371,4.997934901,7.047519644
6/25/2015,18,21.22222222,6.246858324,14.9753639,27.46908055
6/27/2015,8,9.673611111,2.40788034,7.265730771,12.08149145
6/30/2015,41,2.853658537,0.501900019,2.351758518,3.355558555
7/2/2015,27,9.174074074,1.677024164,7.49704991,10.85109824
7/7/2015,24,15.4,3.90835226,11.49164774,19.30835226
7/9/2015,36,3.389274691,0.47875848,2.910516211,3.868033172
7/12/2015,9,0.712962963,0.212509582,0.500453381,0.925472545
7/14/2015,36,10.30555556,2.157474804,8.148080751,12.46303036
7/16/2015,25,14.56666667,2.12717572,12.43949095,16.69384239
7/21/2015,44,3.578282828,0.741622308,2.83666052,4.319905137
7/23/2015,27,6.298611111,1.04208503,5.256526081,7.340696141
7/28/2015,45,3.2,0.628128533,2.571871467,3.828128533
7/30/2015,27,6.222222222,0.959779968,5.262442254,7.182002191
